Año,Trimestre,Provincia,Accesos por cada 100 hab
2022,4,Capital Federal,50.35
2022,4,Catamarca,16.73
2022,4,Chaco,11.66
2022,4,Chubut,26.23
2022,4,Córdoba,27.26
2022,4,Corrientes,13.6
2022,4,Entre Ríos,19.14
2022,4,Formosa,10.03
2022,4,Jujuy,14.95
2022,4,La Pampa,31.23
2022,4,La Rioja,21.26
2022,4,Mendoza,14.33
2022,4,Misiones,14.39
2022,4,Neuquén,23.41
2022,4,Río Negro,21.04
2022,4,Salta,14.04
2022,4,San Juan,12.96
2022,4,San Luis,25.83
2022,4,Santa Cruz,12.95
2022,4,Santa Fe,24.65
2022,4,Santiago Del Estero,11.92
2022,4,Tierra Del Fuego,30.07
2022,4,Tucumán,15.12
2022,3,Buenos Aires,26.37
2022,3,Capital Federal,50.22
2022,3,Catamarca,16.62
2022,3,Chaco,11.72
2022,3,Chubut,25.86
2022,3,Córdoba,27.04
2022,3,Corrientes,12.69
2022,3,Entre Ríos,19.04
2022,3,Formosa,11.14
2022,3,Jujuy,15.06
2022,3,La Pampa,31.82
2022,3,La Rioja,21.47
2022,3,Mendoza,14.24
2022,3,Misiones,14.11
2022,3,Neuquén,23.92
2022,3,Río Negro,20.91
2022,3,Salta,13.99
2022,3,San Juan,12.94
2022,3,San Luis,23.39
2022,3,Santa Cruz,12.85
2022,3,Santa Fe,24.7
2022,3,Santiago Del Estero,11.91
2022,3,Tierra Del Fuego,29.5
2022,3,Tucumán,15.14
2022,2,Buenos Aires,26.1292712783274
2022,2,Capital Federal,49.8735612562611
2022,2,Catamarca,15.8717901952471
2022,2,Chaco,11.7025439036955
2022,2,Chubut,25.4999193362706
2022,2,Córdoba,26.7815908411335
2022,2,Corrientes,12.7321469653836
2022,2,Entre Ríos,19.1046859506594
2022,2,Formosa,11.0498145911401
2022,2,Jujuy,14.6569135245407
2022,2,La Pampa,30.6327215596658
2022,2,La Rioja,21.3314092169144
2022,2,Mendoza,13.7822337845706
2022,2,Misiones,13.8900281819679
2022,2,Neuquén,23.8174575281712
2022,2,Río Negro,20.8675435273834
2022,2,Salta,13.9360105574487
2022,2,San Juan,12.5979124556312
2022,2,San Luis,23.3969726787719
2022,2,Santa Cruz,12.8396228385264
2022,2,Santa Fe,24.4959067991646
2022,2,Santiago Del Estero,11.8367379681289
2022,2,Tierra Del Fuego,29.604955264969
2022,2,Tucumán,14.6914572899128
2022,1,Buenos Aires,25.5630301520284
2022,1,Capital Federal,46.0143476214435
2022,1,Catamarca,14.8056195749953
2022,1,Chaco,11.7753420404361
2022,1,Chubut,26.9887596631044
2022,1,Córdoba,26.2552622183512
2022,1,Corrientes,12.5452812873128
2022,1,Entre Ríos,19.0454052709211
2022,1,Formosa,8.89642743559843
2022,1,Jujuy,14.8476418286294
2022,1,La Pampa,30.2004150314026
2022,1,La Rioja,20.9691741722694
2022,1,Mendoza,13.5994765497552
2022,1,Misiones,13.3575393367025
2022,1,Neuquén,22.0774604260943
2022,1,Río Negro,20.6182298408439
2022,1,Salta,13.5881660533538
2022,1,San Juan,11.0921164686066
2022,1,San Luis,23.1016562316874
2022,1,Santa Cruz,12.8942973288096
2022,1,Santa Fe,24.3073969989344
2022,1,Santiago Del Estero,11.7068821320295
2022,1,Tierra Del Fuego,29.1386510406859
2022,1,Tucumán,14.2155333342981
2021,4,Buenos Aires,25.3625141144029
2021,4,Capital Federal,45.8485107145629
2021,4,Catamarca,14.0542237592254
2021,4,Chaco,11.7723994581641
2021,4,Chubut,25.309325144657
2021,4,Córdoba,25.8731537155377
2021,4,Corrientes,11.9831985526209
2021,4,Entre Ríos,18.8822776766148
2021,4,Formosa,8.76886524220062
2021,4,Jujuy,14.5552419442425
2021,4,La Pampa,29.509892061531
2021,4,La Rioja,20.742382050284
2021,4,Mendoza,13.2562590069906
2021,4,Misiones,13.3633190432684
2021,4,Neuquén,21.8175631190774
2021,4,Río Negro,20.2056135684454
2021,4,Salta,13.7593376914977
2021,4,San Juan,10.0841332359703
2021,4,San Luis,22.9789562419762
2021,4,Santa Cruz,12.8088213538475
2021,4,Santa Fe,24.2396579975196
2021,4,Santiago Del Estero,11.6754404704801
2021,4,Tierra Del Fuego,29.1710078391825
2021,4,Tucumán,13.8528804464241
2021,3,Buenos Aires,23.9698919039995
2021,3,Capital Federal,45.9003834652686
2021,3,Catamarca,13.4074723766124
2021,3,Chaco,11.4821345600996
2021,3,Chubut,24.7383755028802
2021,3,Córdoba,24.8859576286757
2021,3,Corrientes,11.8228555121759
2021,3,Entre Ríos,18.5905655958691
2021,3,Formosa,8.64358218729535
2021,3,Jujuy,14.240381868424
2021,3,La Pampa,27.7678911910512
2021,3,La Rioja,20.5659645302194
2021,3,Mendoza,12.710228113581
2021,3,Misiones,12.4117725813258
2021,3,Neuquén,20.7481620211386
2021,3,Río Negro,19.059250627465
2021,3,Salta,13.5535260221222
2021,3,San Juan,10.0502366420225
2021,3,San Luis,22.8574088187895
2021,3,Santa Cruz,13.0162543718839
2021,3,Santa Fe,23.5881524458178
2021,3,Santiago Del Estero,11.6607366908917
2021,3,Tierra Del Fuego,28.1501701128294
2021,3,Tucumán,13.5334467757118
2021,2,Buenos Aires,23.352473727873
2021,2,Capital Federal,45.4871904812949
2021,2,Catamarca,13.3137486714673
2021,2,Chaco,11.5800413405394
2021,2,Chubut,22.1597817714202
2021,2,Córdoba,24.5284062912537
2021,2,Corrientes,11.4650645801296
2021,2,Entre Ríos,18.4356806329179
2021,2,Formosa,8.45629304957047
2021,2,Jujuy,14.3667840692187
2021,2,La Pampa,27.0435584401919
2021,2,La Rioja,20.4915850957506
2021,2,Mendoza,11.4338470668006
2021,2,Misiones,12.2601465948529
2021,2,Neuquén,20.5802361256459
2021,2,Río Negro,19.0520518601284
2021,2,Salta,13.3034413913845
2021,2,San Juan,10.0067190669371
2021,2,San Luis,23.8905552767436
2021,2,Santa Cruz,13.096756425785
2021,2,Santa Fe,23.6047874530137
2021,2,Santiago Del Estero,11.5543888752169
2021,2,Tierra Del Fuego,20.1266479457771
2021,2,Tucumán,13.606163819728
2021,1,Buenos Aires,22.998353975762
2021,1,Capital Federal,44.8269901646418
2021,1,Catamarca,12.4382789182565
2021,1,Chaco,11.5288964774878
2021,1,Chubut,21.1478383150763
2021,1,Córdoba,24.0613716456615
2021,1,Corrientes,11.2341158695361
2021,1,Entre Ríos,18.0705817215044
2021,1,Formosa,8.33089528442991
2021,1,Jujuy,14.2260459665007
2021,1,La Pampa,26.943299898725
2021,1,La Rioja,13.2583601634496
2021,1,Mendoza,10.9260024514795
2021,1,Misiones,11.7588116112233
2021,1,Neuquén,19.895917331183
2021,1,Río Negro,18.7249056578747
2021,1,Salta,13.0611284262362
2021,1,San Juan,9.94836869480331
2021,1,San Luis,23.248835158317
2021,1,Santa Cruz,12.3918254034438
2021,1,Santa Fe,23.2423821861305
2021,1,Santiago Del Estero,11.3348711690326
2021,1,Tierra Del Fuego,22.9312154304354
2021,1,Tucumán,13.5789638246782
2020,4,Buenos Aires,22.9015115325469
2020,4,Capital Federal,44.8339684267828
2020,4,Catamarca,12.5674593085451
2020,4,Chaco,11.5006461780409
2020,4,Chubut,20.9508711746216
2020,4,Córdoba,23.904978675681
2020,4,Corrientes,11.1720027347886
2020,4,Entre Ríos,17.7819708307277
2020,4,Formosa,8.26839085381519
2020,4,Jujuy,13.6696231171354
2020,4,La Pampa,26.9404221718048
2020,4,La Rioja,13.3391295117309
2020,4,Mendoza,10.7797538577923
2020,4,Misiones,11.6148987925828
2020,4,Neuquén,19.9435555508951
2020,4,Río Negro,18.7893190551718
2020,4,Salta,13.0883890574111
2020,4,San Juan,9.25185812016353
2020,4,San Luis,23.3753143684741
2020,4,Santa Cruz,11.0086826606617
2020,4,Santa Fe,23.1367697431769
2020,4,Santiago Del Estero,10.8574371648052
2020,4,Tierra Del Fuego,22.6095691431376
2020,4,Tucumán,13.5701698084289
2020,3,Buenos Aires,22.4100880534403
2020,3,Capital Federal,44.6227428971926
2020,3,Catamarca,11.9952888012884
2020,3,Chaco,11.1027673619054
2020,3,Chubut,20.9487153048533
2020,3,Córdoba,23.0297083535099
2020,3,Corrientes,10.9936136166816
2020,3,Entre Ríos,17.3981108790514
2020,3,Formosa,8.12033722939222
2020,3,Jujuy,13.8200370336799
2020,3,La Pampa,26.115702018823
2020,3,La Rioja,13.3413120207716
2020,3,Mendoza,10.4223554880532
2020,3,Misiones,11.3317985370104
2020,3,Neuquén,19.4204592926977
2020,3,Río Negro,17.54802558517
2020,3,Salta,12.6702393071254
2020,3,San Juan,9.88083251128296
2020,3,San Luis,22.8839263803681
2020,3,Santa Cruz,10.6972070325265
2020,3,Santa Fe,22.6777105226816
2020,3,Santiago Del Estero,10.7648413009404
2020,3,Tierra Del Fuego,22.7715153638102
2020,3,Tucumán,13.1849907035556
2020,2,Buenos Aires,21.5528584048363
2020,2,Capital Federal,44.151826868205
2020,2,Catamarca,11.5566668352857
2020,2,Chaco,10.6461982789206
2020,2,Chubut,17.5779234120481
2020,2,Córdoba,22.2626297682841
2020,2,Corrientes,10.6131399504817
2020,2,Entre Ríos,16.9046496397221
2020,2,Formosa,7.92553974261672
2020,2,Jujuy,12.246000275261
2020,2,La Pampa,25.0738459648555
2020,2,La Rioja,13.2675488804432
2020,2,Mendoza,10.1166524693736
2020,2,Misiones,11.1369196743518
2020,2,Neuquén,19.0205986637401
2020,2,Río Negro,17.3384537515365
2020,2,Salta,12.4928228219153
2020,2,San Juan,8.93978645060613
2020,2,San Luis,22.4402866477222
2020,2,Santa Cruz,10.6506751720812
2020,2,Santa Fe,22.0118993487247
2020,2,Santiago Del Estero,10.7876486349067
2020,2,Tierra Del Fuego,22.6423924473359
2020,2,Tucumán,12.8267966617582
2020,1,Buenos Aires,21.2080810142128
2020,1,Capital Federal,44.0240824345247
2020,1,Catamarca,9.56828644748246
2020,1,Chaco,10.0183580078063
2020,1,Chubut,15.7151397399492
2020,1,Córdoba,21.6423266904036
2020,1,Corrientes,10.1981922972643
2020,1,Entre Ríos,16.7793875942568
2020,1,Formosa,7.69363320950793
2020,1,Jujuy,11.9345057136942
2020,1,La Pampa,24.9634889459636
2020,1,La Rioja,12.3374236886702
2020,1,Mendoza,9.24865632529103
2020,1,Misiones,10.6276210559822
2020,1,Neuquén,18.4098728835989
2020,1,Río Negro,16.9526360543075
2020,1,Salta,12.0116972009766
2020,1,San Juan,8.25127788119013
2020,1,San Luis,21.8387693863723
2020,1,Santa Cruz,10.7041725372986
2020,1,Santa Fe,21.8613245878736
2020,1,Santiago Del Estero,10.5392121668386
2020,1,Tierra Del Fuego,22.5525532508604
2020,1,Tucumán,11.8524649017937
2019,4,Buenos Aires,21.1350893819089
2019,4,Capital Federal,44.1870536086124
2019,4,Catamarca,9.26886507149251
2019,4,Chaco,9.84506318966921
2019,4,Chubut,15.6771711859264
2019,4,Córdoba,21.5794971664284
2019,4,Corrientes,10.208283637368
2019,4,Entre Ríos,17.339132629893
2019,4,Formosa,7.75547611892472
2019,4,Jujuy,11.6039151022838
2019,4,La Pampa,25.3449218476204
2019,4,La Rioja,12.5475635674596
2019,4,Mendoza,9.39011273391884
2019,4,Misiones,10.8375819024918
2019,4,Neuquén,17.6681849769219
2019,4,Río Negro,17.1338703221798
2019,4,Salta,12.1954928055468
2019,4,San Juan,8.36915261267133
2019,4,San Luis,21.4413528932678
2019,4,Santa Cruz,10.9234277977238
2019,4,Santa Fe,21.8483506557326
2019,4,Santiago Del Estero,10.6519742883379
2019,4,Tierra Del Fuego,23.6275467526162
2019,4,Tucumán,11.8031812807121
2019,3,Buenos Aires,22.7617336155622
2019,3,Capital Federal,46.9047708934881
2019,3,Catamarca,7.85595476521849
2019,3,Chaco,9.58066438752926
2019,3,Chubut,14.580466548719
2019,3,Córdoba,21.0007817769535
2019,3,Corrientes,10.1340281141787
2019,3,Entre Ríos,17.3116618255979
2019,3,Formosa,7.66417771389022
2019,3,Jujuy,11.334206981241
2019,3,La Pampa,25.5190027056414
2019,3,La Rioja,12.7624317908561
2019,3,Mendoza,11.3681890162792
2019,3,Misiones,10.713348334459
2019,3,Neuquén,19.0920756796417
2019,3,Río Negro,19.5084985912294
2019,3,Salta,10.7718546234161
2019,3,San Juan,9.44094148522601
2019,3,San Luis,24.3909711661747
2019,3,Santa Cruz,10.6015551925842
2019,3,Santa Fe,21.6564247463616
2019,3,Santiago Del Estero,13.7252880483641
2019,3,Tierra Del Fuego,28.5989251932121
2019,3,Tucumán,9.78157418438212
2019,2,Buenos Aires,22.2157894842981
2019,2,Capital Federal,46.0859257928109
2019,2,Catamarca,8.17339703245058
2019,2,Chaco,9.1250113292671
2019,2,Chubut,14.4038087278961
2019,2,Córdoba,20.8416372422382
2019,2,Corrientes,10.0474590194205
2019,2,Entre Ríos,17.1858204446725
2019,2,Formosa,7.74219578395609
2019,2,Jujuy,11.3829345908251
2019,2,La Pampa,25.3978398954861
2019,2,La Rioja,12.965645588675
2019,2,Mendoza,11.3733565416729
2019,2,Misiones,10.6628255950184
2019,2,Neuquén,18.7779008056203
2019,2,Río Negro,18.7922767563462
2019,2,Salta,10.146610869132
2019,2,San Juan,9.06854016252792
2019,2,San Luis,23.4082266301606
2019,2,Santa Cruz,8.58406482865588
2019,2,Santa Fe,21.2011304851442
2019,2,Santiago Del Estero,13.101581339389
2019,2,Tierra Del Fuego,28.1075638215957
2019,2,Tucumán,9.94246044080586
2019,1,Buenos Aires,21.6417378514192
2019,1,Capital Federal,45.5791838994366
2019,1,Catamarca,8.18850462737457
2019,1,Chaco,8.72283500340746
2019,1,Chubut,13.1803680616707
2019,1,Córdoba,20.0595276926967
2019,1,Corrientes,9.25199213887151
2019,1,Entre Ríos,16.9794023932903
2019,1,Formosa,7.55368578631946
2019,1,Jujuy,11.8678497610553
2019,1,La Pampa,25.1575166404727
2019,1,La Rioja,13.3594024786378
2019,1,Mendoza,10.5088620671738
2019,1,Misiones,9.87579609120626
2019,1,Neuquén,17.5264903960343
2019,1,Río Negro,16.478122478196
2019,1,Salta,9.71178101440345
2019,1,San Juan,8.10898201726592
2019,1,San Luis,19.2717794012915
2019,1,Santa Cruz,7.04269163445306
2019,1,Santa Fe,21.0598949173879
2019,1,Santiago Del Estero,9.3116162809496
2019,1,Tierra Del Fuego,27.6849257912618
2019,1,Tucumán,10.3126309673915
2018,4,Buenos Aires,21.0588338233985
2018,4,Capital Federal,45.2493139403669
2018,4,Catamarca,8.19733354162497
2018,4,Chaco,8.7108351925502
2018,4,Chubut,13.0617297060522
2018,4,Córdoba,19.9284311751423
2018,4,Corrientes,9.10221065708079
2018,4,Entre Ríos,16.2577940353847
2018,4,Formosa,7.56863913845701
2018,4,Jujuy,11.8994841924185
2018,4,La Pampa,24.215175627605
2018,4,La Rioja,13.4028590482468
2018,4,Mendoza,10.5369339699976
2018,4,Misiones,9.38376401334208
2018,4,Neuquén,17.5833620329143
2018,4,Río Negro,15.9520334449713
2018,4,Salta,9.63988499012216
2018,4,San Juan,8.12506754829948
2018,4,San Luis,19.3325493092293
2018,4,Santa Cruz,7.04908001650705
2018,4,Santa Fe,20.6237364064387
2018,4,Santiago Del Estero,9.2821177795649
2018,4,Tierra Del Fuego,27.7487853158179
2018,4,Tucumán,10.3441204364396
2018,3,Buenos Aires,20.9590874010485
2018,3,Capital Federal,45.3770920456075
2018,3,Catamarca,8.37304655008758
2018,3,Chaco,8.62858350951374
2018,3,Chubut,17.2863082293932
2018,3,Córdoba,19.6691574967699
2018,3,Corrientes,9.01894817024788
2018,3,Entre Ríos,15.0162082107412
2018,3,Formosa,7.52794981031211
2018,3,Jujuy,5.9491656472258
2018,3,La Pampa,23.6405627895773
2018,3,La Rioja,13.5054845201924
2018,3,Mendoza,10.6019692319668
2018,3,Misiones,8.74450949017475
2018,3,Neuquén,18.0054517097913
2018,3,Río Negro,15.5465724582987
2018,3,Salta,9.54934134172116
2018,3,San Juan,8.41935795556925
2018,3,San Luis,14.9833598756571
2018,3,Santa Cruz,9.7389874592526
2018,3,Santa Fe,19.9391069827321
2018,3,Santiago Del Estero,8.99651744351393
2018,3,Tierra Del Fuego,27.5060216962167
2018,3,Tucumán,10.325137534987
2018,2,Buenos Aires,20.3745823244351
2018,2,Capital Federal,44.632577746788
2018,2,Catamarca,8.35838388395506
2018,2,Chaco,8.35312361429173
2018,2,Chubut,16.8304851291441
2018,2,Córdoba,19.373198551696
2018,2,Corrientes,8.90324738534082
2018,2,Entre Ríos,14.7116484535059
2018,2,Formosa,7.4919076165093
2018,2,Jujuy,5.99239747680142
2018,2,La Pampa,23.407010658268
2018,2,La Rioja,13.5709228844089
2018,2,Mendoza,10.318226443151
2018,2,Misiones,8.61598877251767
2018,2,Neuquén,17.9318778103692
2018,2,Río Negro,15.4255830893773
2018,2,Salta,9.67310280884578
2018,2,San Juan,8.39284171164165
2018,2,San Luis,4.33613750896293
2018,2,Santa Cruz,9.91958805094006
2018,2,Santa Fe,19.6755915306821
2018,2,Santiago Del Estero,8.75016058933937
2018,2,Tierra Del Fuego,27.1623165159911
2018,2,Tucumán,10.2836712071486
2018,1,Buenos Aires,20.2796529105795
2018,1,Capital Federal,44.5629613204179
2018,1,Catamarca,8.34209853727587
2018,1,Chaco,8.240328535252
2018,1,Chubut,16.4663265563409
2018,1,Córdoba,19.4473810733398
2018,1,Corrientes,8.60133260210877
2018,1,Entre Ríos,14.5556734563254
2018,1,Formosa,5.44800982825826
2018,1,Jujuy,5.91282950582615
2018,1,La Pampa,23.6412486623102
2018,1,La Rioja,13.6947700631199
2018,1,Mendoza,10.3458430919679
2018,1,Misiones,8.43227841660731
2018,1,Neuquén,18.3128386973519
2018,1,Río Negro,15.3235670915437
2018,1,Salta,9.63384544384639
2018,1,San Juan,8.30680071057099
2018,1,San Luis,4.33561502267505
2018,1,Santa Cruz,9.98473486255572
2018,1,Santa Fe,19.5846823687574
2018,1,Santiago Del Estero,8.68350419053065
2018,1,Tierra Del Fuego,19.3315233343117
2018,1,Tucumán,10.2001773500551
2017,4,Buenos Aires,18.6146492483549
2017,4,Capital Federal,51.6167209151056
2017,4,Catamarca,7.28060041922938
2017,4,Chaco,8.23450197946808
2017,4,Chubut,15.7758159308052
2017,4,Córdoba,19.3908577867931
2017,4,Corrientes,8.56226362030962
2017,4,Entre Ríos,14.3176351801836
2017,4,Formosa,5.41406007215144
2017,4,Jujuy,5.81583543877829
2017,4,La Pampa,23.4099297739188
2017,4,La Rioja,13.7279656603595
2017,4,Mendoza,9.30028099444051
2017,4,Misiones,8.48278947789551
2017,4,Neuquén,18.2308851652642
2017,4,Río Negro,15.1878136627227
2017,4,Salta,9.63881653575366
2017,4,San Juan,7.71852860282045
2017,4,San Luis,3.0299272402738
2017,4,Santa Cruz,8.60382164860814
2017,4,Santa Fe,19.405680474329
2017,4,Santiago Del Estero,7.22868794966673
2017,4,Tierra Del Fuego,17.7584933530281
2017,4,Tucumán,9.8832869606512
2017,3,Buenos Aires,17.9358709735921
2017,3,Capital Federal,51.2444496511116
2017,3,Catamarca,8.26509123497419
2017,3,Chaco,8.01210373802466
2017,3,Chubut,14.1673718358536
2017,3,Córdoba,19.0769539156083
2017,3,Corrientes,8.4702126705405
2017,3,Entre Ríos,13.741494179292
2017,3,Formosa,5.43429504811395
2017,3,Jujuy,5.79114280051213
2017,3,La Pampa,22.7808079768561
2017,3,La Rioja,13.7006510798107
2017,3,Mendoza,9.96432346586244
2017,3,Misiones,8.22783358937152
2017,3,Neuquén,18.1084813517863
2017,3,Río Negro,14.9243619077237
2017,3,Salta,9.64942748439008
2017,3,San Juan,8.24511556549592
2017,3,San Luis,4.42980917494065
2017,3,Santa Cruz,9.90736656374063
2017,3,Santa Fe,19.1521648988496
2017,3,Santiago Del Estero,8.71651583615132
2017,3,Tierra Del Fuego,19.4927643968679
2017,3,Tucumán,9.83344845550024
2017,2,Buenos Aires,18.1041564810005
2017,2,Capital Federal,52.236738675121
2017,2,Catamarca,6.60818568741958
2017,2,Chaco,7.76358719866201
2017,2,Chubut,10.8971148834405
2017,2,Córdoba,18.0566153106088
2017,2,Corrientes,8.26516561613311
2017,2,Entre Ríos,13.5716635856636
2017,2,Formosa,5.08181870616855
2017,2,Jujuy,5.72941710564843
2017,2,La Pampa,20.9208113683245
2017,2,La Rioja,4.31364137112834
2017,2,Mendoza,8.86323196292613
2017,2,Misiones,8.19626218117457
2017,2,Neuquén,18.4306345952835
2017,2,Río Negro,14.1565144707972
2017,2,Salta,7.9299418666242
2017,2,San Juan,6.86906267170671
2017,2,San Luis,2.72299969919519
2017,2,Santa Cruz,7.81200042630289
2017,2,Santa Fe,16.4365192755623
2017,2,Santiago Del Estero,3.50415323861831
2017,2,Tierra Del Fuego,20.3013051150784
2017,2,Tucumán,9.45982373143856
2017,1,Buenos Aires,18.8048550310117
2017,1,Capital Federal,45.687714654171
2017,1,Catamarca,6.52734131816727
2017,1,Chaco,7.65022534015797
2017,1,Chubut,10.9325033920258
2017,1,Córdoba,17.6522425706022
2017,1,Corrientes,8.14778714678486
2017,1,Entre Ríos,13.4274342450088
2017,1,Formosa,5.05059092168821
2017,1,Jujuy,5.81976940765058
2017,1,La Pampa,20.64904971243
2017,1,La Rioja,4.31144439366078
2017,1,Mendoza,8.88670624572537
2017,1,Misiones,8.04171321055632
2017,1,Neuquén,18.1662540084548
2017,1,Río Negro,14.1589456556382
2017,1,Salta,7.89012629128218
2017,1,San Juan,6.88739031200583
2017,1,San Luis,2.73198352638775
2017,1,Santa Cruz,7.89382704275053
2017,1,Santa Fe,16.3422547458363
2017,1,Santiago Del Estero,3.648850889801
2017,1,Tierra Del Fuego,20.4354867056667
2017,1,Tucumán,9.38885279995182
2016,4,Buenos Aires,18.5786407358338
2016,4,Capital Federal,45.7837382772723
2016,4,Catamarca,6.7208130408733
2016,4,Chaco,7.65324009589054
2016,4,Chubut,10.959254911599
2016,4,Córdoba,17.5712914597652
2016,4,Corrientes,8.11989603111693
2016,4,Entre Ríos,13.4519827391907
2016,4,Formosa,5.02928480990009
2016,4,Jujuy,5.75880438439226
2016,4,La Pampa,20.6707608364078
2016,4,La Rioja,4.35056208536871
2016,4,Mendoza,8.91094173348024
2016,4,Misiones,8.04702456742802
2016,4,Neuquén,17.9932474938908
2016,4,Río Negro,14.1702506094807
2016,4,Salta,7.86548754842606
2016,4,San Juan,6.91328731665229
2016,4,San Luis,2.74102682939389
2016,4,Santa Cruz,7.94078021526284
2016,4,Santa Fe,16.3450119715011
2016,4,Santiago Del Estero,3.71972042933157
2016,4,Tierra Del Fuego,20.5713238639236
2016,4,Tucumán,9.34955339748364
2016,3,Buenos Aires,18.2953085979519
2016,3,Capital Federal,45.854720267722
2016,3,Catamarca,6.72059087375157
2016,3,Chaco,7.7068778032764
2016,3,Chubut,11.0411695849893
2016,3,Córdoba,17.7855048043124
2016,3,Corrientes,8.16172673090231
2016,3,Entre Ríos,13.5523719961486
2016,3,Formosa,4.73374802305046
2016,3,Jujuy,5.76400350138348
2016,3,La Pampa,20.2948293814121
2016,3,La Rioja,4.52988708727993
2016,3,Mendoza,8.93044444956212
2016,3,Misiones,8.12165282352103
2016,3,Neuquén,17.8621510152284
2016,3,Río Negro,14.2202015652272
2016,3,Salta,7.95537239122445
2016,3,San Juan,6.93918862981469
