Partido;Localidad;link Indec;Velocidad (Mbps);Provincia;Accesos
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);6588060;10;2 
BUENOS AIRES;9 de Julio;Morea;6588080;3;130 
BUENOS AIRES;9 de Julio;Patricios;6588110;3;50 
BUENOS AIRES;9 de Julio;Patricios;6588110;6;16 
BUENOS AIRES;9 de Julio;Patricios;6588110;10;44 
BUENOS AIRES;9 de Julio;Patricios;6588110;15;21 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;3;42 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;6;6 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;10;37 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;15;29 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;20;32 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;30;11 
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);6588120;50;3 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;3;763 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;3,5;20 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;7;103 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;8;36 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;15;1.231 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;30;1 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;31;266 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;50;820 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;61;31 
BUENOS AIRES;Adolfo Alsina;Carhué;6007010;100;2 
BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcángel;6007020;3;208 
BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gascón;6007050;3;60 
BUENOS AIRES;Adolfo Alsina;Maza;6007070;0;10 
BUENOS AIRES;Adolfo Alsina;Maza;6007070;0,5;2 
BUENOS AIRES;Adolfo Alsina;Maza;6007070;5;386 
BUENOS AIRES;Adolfo Alsina;Maza;6007070;10;6 
BUENOS AIRES;Adolfo Alsina;Maza;6007070;20;2 
BUENOS AIRES;Adolfo Alsina;Rivera;6007080;20;1.252 
BUENOS AIRES;Adolfo Alsina;Rivera;6007080;35;26 
BUENOS AIRES;Adolfo Alsina;Rivera;6007080;50;31 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;0,75;3 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;3,5;147 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;8;447 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;10;122 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;12;1 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;15;1.422 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;30;44 
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6014010;50;1 
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020;4;632 
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020;7;7 
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020;8;28 
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020;10;45 
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;6014020;15;5 
BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;6014030;4;46 
BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;6014040;3;12 
BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;6014040;4;2 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;0,75;2 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;2;1 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;3,5;40 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;5;1 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;8;116 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;15;302 
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);6021010;100;1 
BUENOS AIRES;Alberti;Coronel Seguí;6021020;15;5 
BUENOS AIRES;Alberti;Mechita;6021030;3;275 
BUENOS AIRES;Alberti;Mechita;6021030;5;10 
BUENOS AIRES;Alberti;Villa Ortiz  (Est. Coronel Mom);6021070;15;24 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;0;1 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;0,256;1 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;0,5;10 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;0,512;1 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;0,75;34 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;1;21 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;2;8 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;3,5;63 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;4;7 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;5;5 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;6;12 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;8;37 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;10;170 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;15;112 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;20;1 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;25;3 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;30;11.550 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;50;509 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;60;37 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;75;9 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;100;2.727 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;150;944 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;200;1 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;300;3.966 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;500;504 
BUENOS AIRES;Almirante Brown;Adrogué;6028010;1000;365 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;0;52 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;0,256;1 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;0,5;9 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;0,512;1 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;0,75;23 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;1;15 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;2;78 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;3;14 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;3,5;34 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;4;115 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;5;14 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;6;82 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;8;30 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;10;393 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;15;60 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;20;2 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;25;2 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;30;11.384 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;50;382 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;60;186 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;75;15 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;100;2.084 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;150;3.756 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;200;5 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;300;7.154 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;500;959 
BUENOS AIRES;Almirante Brown;Burzaco;6028010;1000;1.017 
BUENOS AIRES;Almirante Brown;Claypole;6028010;0;1 
BUENOS AIRES;Almirante Brown;Claypole;6028010;0,75;2 
BUENOS AIRES;Almirante Brown;Claypole;6028010;1;6 
BUENOS AIRES;Almirante Brown;Claypole;6028010;3;2 
BUENOS AIRES;Almirante Brown;Claypole;6028010;3,5;3 
BUENOS AIRES;Almirante Brown;Claypole;6028010;5;3 
BUENOS AIRES;Almirante Brown;Claypole;6028010;6;5 
BUENOS AIRES;Almirante Brown;Claypole;6028010;10;149 
BUENOS AIRES;Almirante Brown;Claypole;6028010;30;4.108 
BUENOS AIRES;Almirante Brown;Claypole;6028010;50;117 
BUENOS AIRES;Almirante Brown;Claypole;6028010;60;64 
BUENOS AIRES;Almirante Brown;Claypole;6028010;75;5 
BUENOS AIRES;Almirante Brown;Claypole;6028010;100;696 
BUENOS AIRES;Almirante Brown;Claypole;6028010;150;1.809 
BUENOS AIRES;Almirante Brown;Claypole;6028010;300;3.538 
BUENOS AIRES;Almirante Brown;Claypole;6028010;500;497 
BUENOS AIRES;Almirante Brown;Claypole;6028010;1000;503 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;5;2 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;10;128 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;15;42 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;30;1 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;50;12 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;60;91 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;75;2 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;100;36 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;150;1.776 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;300;2.535 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;500;370 
BUENOS AIRES;Almirante Brown;Don Orione;6028010;1000;439 
BUENOS AIRES;Almirante Brown;Glew;6028010;0;1 
BUENOS AIRES;Almirante Brown;Glew;6028010;0,5;5 
BUENOS AIRES;Almirante Brown;Glew;6028010;0,75;7 
BUENOS AIRES;Almirante Brown;Glew;6028010;1;4 
BUENOS AIRES;Almirante Brown;Glew;6028010;2;15 
BUENOS AIRES;Almirante Brown;Glew;6028010;3;5 
BUENOS AIRES;Almirante Brown;Glew;6028010;3,5;27 
BUENOS AIRES;Almirante Brown;Glew;6028010;4;29 
BUENOS AIRES;Almirante Brown;Glew;6028010;5;8 
BUENOS AIRES;Almirante Brown;Glew;6028010;6;12 
BUENOS AIRES;Almirante Brown;Glew;6028010;8;16 
BUENOS AIRES;Almirante Brown;Glew;6028010;10;138 
BUENOS AIRES;Almirante Brown;Glew;6028010;15;8 
BUENOS AIRES;Almirante Brown;Glew;6028010;25;27 
BUENOS AIRES;Almirante Brown;Glew;6028010;30;11.735 
BUENOS AIRES;Almirante Brown;Glew;6028010;50;134 
BUENOS AIRES;Almirante Brown;Glew;6028010;60;81 
BUENOS AIRES;Almirante Brown;Glew;6028010;75;2 
BUENOS AIRES;Almirante Brown;Glew;6028010;100;676 
BUENOS AIRES;Almirante Brown;Glew;6028010;150;2.725 
BUENOS AIRES;Almirante Brown;Glew;6028010;300;3.834 
BUENOS AIRES;Almirante Brown;Glew;6028010;500;499 
BUENOS AIRES;Almirante Brown;Glew;6028010;1000;699 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;1;1 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;3,5;2 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;5;2 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;6;1 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;8;3 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;10;156 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;25;2 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;30;1.381 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;50;166 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;60;58 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;75;6 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;100;1.250 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;150;1.310 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;300;3.416 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;500;429 
BUENOS AIRES;Almirante Brown;Jose Mármol;6028010;1000;447 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;0;1 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;0,5;1 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;0,75;3 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;3;3 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;3,5;21 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;5;8 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;6;1 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;8;4 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;10;231 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;15;5 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;30;7.428 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;50;198 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;60;88 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;75;7 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;100;1.226 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;150;2.212 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;300;3.887 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;500;569 
BUENOS AIRES;Almirante Brown;Longchamps;6028010;1000;512 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;0;1 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;1;3 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;5;3 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;6;1 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;10;47 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;20;2 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;30;4 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;50;69 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;60;37 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;75;3 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;100;424 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;150;1.066 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;300;2.191 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;500;331 
BUENOS AIRES;Almirante Brown;Malvinas Argentinas;6028010;1000;331 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;3,5;2 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;5;1 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;10;96 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;30;4.093 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;50;18 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;60;47 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;75;4 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;100;124 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;150;1.024 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;300;1.716 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;500;282 
BUENOS AIRES;Almirante Brown;Ministro Rivadavia;6028010;1000;234 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;0;1 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;0,5;3 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;0,75;10 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;1;28 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;3;97 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;3,5;18 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;4;339 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;5;10 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;6;52 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;8;3 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;10;240 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;15;9 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;30;9.967 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;50;189 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;60;102 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;75;10 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;100;1.110 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;150;2.420 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;300;5.185 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;500;695 
BUENOS AIRES;Almirante Brown;Rafael Calzada;6028010;1000;675 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;0;1 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;0,5;1 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;0,75;4 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;1;9 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;3;40 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;3,5;21 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;5;2 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;6;88 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;10;39 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;30;3.236 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;50;34 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;60;46 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;100;148 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;150;1.141 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;300;2.174 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;500;310 
BUENOS AIRES;Almirante Brown;San Francisco Solano;6028010;1000;336 
BUENOS AIRES;Almirante Brown;San Jose;6028010;0,5;3 
BUENOS AIRES;Almirante Brown;San Jose;6028010;0,75;1 
BUENOS AIRES;Almirante Brown;San Jose;6028010;3,5;2 
BUENOS AIRES;Almirante Brown;San Jose;6028010;5;5 
BUENOS AIRES;Almirante Brown;San Jose;6028010;10;165 
BUENOS AIRES;Almirante Brown;San Jose;6028010;30;4 
BUENOS AIRES;Almirante Brown;San Jose;6028010;50;61 
BUENOS AIRES;Almirante Brown;San Jose;6028010;60;131 
BUENOS AIRES;Almirante Brown;San Jose;6028010;75;7 
BUENOS AIRES;Almirante Brown;San Jose;6028010;100;391 
BUENOS AIRES;Almirante Brown;San Jose;6028010;150;2.702 
BUENOS AIRES;Almirante Brown;San Jose;6028010;300;3.942 
BUENOS AIRES;Almirante Brown;San Jose;6028010;500;615 
BUENOS AIRES;Almirante Brown;San Jose;6028010;1000;582 
BUENOS AIRES;AMBA;Otros;Sin Datos;0,5;13 
BUENOS AIRES;AMBA;Otros;Sin Datos;1;0 
BUENOS AIRES;AMBA;Otros;Sin Datos;15;0 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;0;159 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;0,5;1 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;0,75;6 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;1;137 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;2;275 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;3;546 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;3,5;165 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;4;292 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;6;95 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;8;285 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;10;10 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;15;451 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;20;4.483 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;30;3 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;50;1.822 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;100;1.322 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;300;351 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;500;22 
BUENOS AIRES;Arrecifes;Arrecifes;6077010;1000;6 
BUENOS AIRES;Arrecifes;Todd;6077020;20;185 
BUENOS AIRES;Arrecifes;Todd;6077020;50;125 
BUENOS AIRES;Arrecifes;Todd;6077020;100;31 
BUENOS AIRES;Arrecifes;Viña;6077030;3;80 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;0;31 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;0,256;1 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;0,5;8 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;0,512;7 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;0,75;43 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;1;40 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;2;1 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;3;27 
BUENOS AIRES;Avellaneda;Avellaneda;6035010;3,5;288 
