Provincia,Partido,Localidad,link Indec,Velocidad (Mbps),Accesos
BUENOS AIRES,Alberti,Mechita,6021030,5.0,10
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,15.0,24
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.0,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.256,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.5,10
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.512,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.75,34
BUENOS AIRES,Almirante Brown,Adrogué,6028010,1.0,21
BUENOS AIRES,Almirante Brown,Adrogué,6028010,2.0,8
BUENOS AIRES,Almirante Brown,Adrogué,6028010,3.5,63
BUENOS AIRES,Almirante Brown,Adrogué,6028010,4.0,7
BUENOS AIRES,Almirante Brown,Adrogué,6028010,5.0,5
BUENOS AIRES,Almirante Brown,Adrogué,6028010,6.0,12
BUENOS AIRES,Almirante Brown,Adrogué,6028010,8.0,37
BUENOS AIRES,Almirante Brown,Adrogué,6028010,10.0,170
BUENOS AIRES,Almirante Brown,Adrogué,6028010,15.0,112
BUENOS AIRES,Almirante Brown,Adrogué,6028010,20.0,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,25.0,3
BUENOS AIRES,Almirante Brown,Adrogué,6028010,30.0,11
BUENOS AIRES,Almirante Brown,Adrogué,6028010,50.0,509
BUENOS AIRES,Almirante Brown,Adrogué,6028010,60.0,37
BUENOS AIRES,Almirante Brown,Adrogué,6028010,75.0,9
BUENOS AIRES,Almirante Brown,Adrogué,6028010,100.0,2
BUENOS AIRES,Almirante Brown,Adrogué,6028010,150.0,944
BUENOS AIRES,Almirante Brown,Adrogué,6028010,200.0,1
BUENOS AIRES,Almirante Brown,Adrogué,6028010,300.0,3
BUENOS AIRES,Almirante Brown,Adrogué,6028010,500.0,504
BUENOS AIRES,Almirante Brown,Adrogué,6028010,1000.0,365
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.0,52
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.256,1
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.5,9
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.512,1
BUENOS AIRES,Almirante Brown,Burzaco,6028010,0.75,23
BUENOS AIRES,Almirante Brown,Burzaco,6028010,1.0,15
BUENOS AIRES,Almirante Brown,Burzaco,6028010,2.0,78
BUENOS AIRES,Almirante Brown,Burzaco,6028010,3.0,14
BUENOS AIRES,Almirante Brown,Burzaco,6028010,3.5,34
BUENOS AIRES,Almirante Brown,Burzaco,6028010,4.0,115
BUENOS AIRES,Almirante Brown,Burzaco,6028010,5.0,14
BUENOS AIRES,Almirante Brown,Burzaco,6028010,6.0,82
BUENOS AIRES,Almirante Brown,Burzaco,6028010,8.0,30
BUENOS AIRES,Almirante Brown,Burzaco,6028010,10.0,393
BUENOS AIRES,Almirante Brown,Burzaco,6028010,15.0,60
BUENOS AIRES,Almirante Brown,Burzaco,6028010,20.0,2
BUENOS AIRES,Almirante Brown,Burzaco,6028010,25.0,2
BUENOS AIRES,Almirante Brown,Burzaco,6028010,30.0,11
BUENOS AIRES,Almirante Brown,Burzaco,6028010,50.0,382
BUENOS AIRES,Almirante Brown,Burzaco,6028010,60.0,186
BUENOS AIRES,Almirante Brown,Burzaco,6028010,75.0,15
BUENOS AIRES,Almirante Brown,Burzaco,6028010,100.0,2
BUENOS AIRES,Almirante Brown,Burzaco,6028010,150.0,3
BUENOS AIRES,Almirante Brown,Burzaco,6028010,200.0,5
BUENOS AIRES,Almirante Brown,Burzaco,6028010,300.0,7
BUENOS AIRES,Almirante Brown,Burzaco,6028010,500.0,959
BUENOS AIRES,Almirante Brown,Burzaco,6028010,1000.0,1
BUENOS AIRES,Almirante Brown,Claypole,6028010,0.0,1
BUENOS AIRES,Almirante Brown,Claypole,6028010,0.75,2
BUENOS AIRES,Almirante Brown,Claypole,6028010,1.0,6
BUENOS AIRES,Almirante Brown,Claypole,6028010,3.0,2
BUENOS AIRES,Almirante Brown,Claypole,6028010,3.5,3
BUENOS AIRES,Almirante Brown,Claypole,6028010,5.0,3
BUENOS AIRES,Almirante Brown,Claypole,6028010,6.0,5
BUENOS AIRES,Almirante Brown,Claypole,6028010,10.0,149
BUENOS AIRES,Almirante Brown,Claypole,6028010,30.0,4
BUENOS AIRES,Almirante Brown,Claypole,6028010,50.0,117
BUENOS AIRES,Almirante Brown,Claypole,6028010,60.0,64
BUENOS AIRES,Almirante Brown,Claypole,6028010,75.0,5
BUENOS AIRES,Almirante Brown,Claypole,6028010,100.0,696
BUENOS AIRES,Almirante Brown,Claypole,6028010,150.0,1
BUENOS AIRES,Almirante Brown,Claypole,6028010,300.0,3
BUENOS AIRES,Almirante Brown,Claypole,6028010,500.0,497
BUENOS AIRES,Almirante Brown,Claypole,6028010,1000.0,503
BUENOS AIRES,Almirante Brown,Don Orione,6028010,5.0,2
BUENOS AIRES,Almirante Brown,Don Orione,6028010,10.0,128
BUENOS AIRES,Almirante Brown,Don Orione,6028010,15.0,42
BUENOS AIRES,Almirante Brown,Don Orione,6028010,30.0,1
BUENOS AIRES,Almirante Brown,Don Orione,6028010,50.0,12
BUENOS AIRES,Almirante Brown,Don Orione,6028010,60.0,91
BUENOS AIRES,Almirante Brown,Don Orione,6028010,75.0,2
BUENOS AIRES,Almirante Brown,Don Orione,6028010,100.0,36
BUENOS AIRES,Almirante Brown,Don Orione,6028010,150.0,1
BUENOS AIRES,Almirante Brown,Don Orione,6028010,300.0,2
BUENOS AIRES,Almirante Brown,Don Orione,6028010,500.0,370
BUENOS AIRES,Almirante Brown,Don Orione,6028010,1000.0,439
BUENOS AIRES,Almirante Brown,Glew,6028010,0.0,1
BUENOS AIRES,Almirante Brown,Glew,6028010,0.5,5
BUENOS AIRES,Almirante Brown,Glew,6028010,0.75,7
BUENOS AIRES,Almirante Brown,Glew,6028010,1.0,4
BUENOS AIRES,Almirante Brown,Glew,6028010,2.0,15
BUENOS AIRES,Almirante Brown,Glew,6028010,3.0,5
BUENOS AIRES,Almirante Brown,Glew,6028010,3.5,27
BUENOS AIRES,Almirante Brown,Glew,6028010,4.0,29
BUENOS AIRES,Almirante Brown,Glew,6028010,5.0,8
BUENOS AIRES,Almirante Brown,Glew,6028010,6.0,12
BUENOS AIRES,Almirante Brown,Glew,6028010,8.0,16
BUENOS AIRES,Almirante Brown,Glew,6028010,10.0,138
BUENOS AIRES,Almirante Brown,Glew,6028010,15.0,8
BUENOS AIRES,Almirante Brown,Glew,6028010,25.0,27
BUENOS AIRES,Almirante Brown,Glew,6028010,30.0,11
BUENOS AIRES,Almirante Brown,Glew,6028010,50.0,134
BUENOS AIRES,Almirante Brown,Glew,6028010,60.0,81
BUENOS AIRES,Almirante Brown,Glew,6028010,75.0,2
BUENOS AIRES,Almirante Brown,Glew,6028010,100.0,676
BUENOS AIRES,Almirante Brown,Glew,6028010,150.0,2
BUENOS AIRES,Almirante Brown,Glew,6028010,300.0,3
BUENOS AIRES,Almirante Brown,Glew,6028010,500.0,499
BUENOS AIRES,Almirante Brown,Glew,6028010,1000.0,699
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,1.0,1
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,3.5,2
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,5.0,2
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,6.0,1
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,8.0,3
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,10.0,156
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,25.0,2
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,30.0,1
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,50.0,166
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,60.0,58
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,75.0,6
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,100.0,1
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,150.0,1
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,300.0,3
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,500.0,429
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,1000.0,447
BUENOS AIRES,Almirante Brown,Longchamps,6028010,0.0,1
BUENOS AIRES,Almirante Brown,Longchamps,6028010,0.5,1
BUENOS AIRES,Almirante Brown,Longchamps,6028010,0.75,3
BUENOS AIRES,Almirante Brown,Longchamps,6028010,3.0,3
BUENOS AIRES,Almirante Brown,Longchamps,6028010,3.5,21
BUENOS AIRES,Almirante Brown,Longchamps,6028010,5.0,8
BUENOS AIRES,Almirante Brown,Longchamps,6028010,6.0,1
BUENOS AIRES,Almirante Brown,Longchamps,6028010,8.0,4
BUENOS AIRES,Almirante Brown,Longchamps,6028010,10.0,231
BUENOS AIRES,Almirante Brown,Longchamps,6028010,15.0,5
BUENOS AIRES,Almirante Brown,Longchamps,6028010,30.0,7
BUENOS AIRES,Almirante Brown,Longchamps,6028010,50.0,198
BUENOS AIRES,Almirante Brown,Longchamps,6028010,60.0,88
BUENOS AIRES,Almirante Brown,Longchamps,6028010,75.0,7
BUENOS AIRES,Almirante Brown,Longchamps,6028010,100.0,1
BUENOS AIRES,Almirante Brown,Longchamps,6028010,150.0,2
BUENOS AIRES,Almirante Brown,Longchamps,6028010,300.0,3
BUENOS AIRES,Almirante Brown,Longchamps,6028010,500.0,569
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1000.0,512
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,0.0,1
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1.0,3
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,5.0,3
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,6.0,1
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,10.0,47
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,20.0,2
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,30.0,4
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,50.0,69
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,60.0,37
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,75.0,3
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,100.0,424
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,150.0,1
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,300.0,2
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,500.0,331
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1000.0,331
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3.5,2
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,5.0,1
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,10.0,96
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,30.0,4
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,50.0,18
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,60.0,47
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,75.0,4
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,100.0,124
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,150.0,1
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,300.0,1
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,500.0,282
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,1000.0,234
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0.0,1
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0.5,3
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0.75,10
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1.0,28
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,3.0,97
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,3.5,18
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,4.0,339
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,5.0,10
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,6.0,52
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,8.0,3
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,10.0,240
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,15.0,9
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,30.0,9
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,50.0,189
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,60.0,102
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,75.0,10
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,100.0,1
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,150.0,2
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,300.0,5
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,500.0,695
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1000.0,675
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,0.0,1
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,0.5,1
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,0.75,4
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1.0,9
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3.0,40
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3.5,21
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,5.0,2
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,6.0,88
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,10.0,39
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,30.0,3
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,50.0,34
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,60.0,46
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,100.0,148
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,150.0,1
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,300.0,2
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,500.0,310
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1000.0,336
BUENOS AIRES,Almirante Brown,San Jose,6028010,0.5,3
BUENOS AIRES,Almirante Brown,San Jose,6028010,0.75,1
BUENOS AIRES,Almirante Brown,San Jose,6028010,3.5,2
BUENOS AIRES,Almirante Brown,San Jose,6028010,5.0,5
BUENOS AIRES,Almirante Brown,San Jose,6028010,10.0,165
BUENOS AIRES,Almirante Brown,San Jose,6028010,30.0,4
BUENOS AIRES,Almirante Brown,San Jose,6028010,50.0,61
BUENOS AIRES,Almirante Brown,San Jose,6028010,60.0,131
BUENOS AIRES,Almirante Brown,San Jose,6028010,75.0,7
BUENOS AIRES,Almirante Brown,San Jose,6028010,100.0,391
BUENOS AIRES,Almirante Brown,San Jose,6028010,150.0,2
BUENOS AIRES,Almirante Brown,San Jose,6028010,300.0,3
BUENOS AIRES,Almirante Brown,San Jose,6028010,500.0,615
BUENOS AIRES,Almirante Brown,San Jose,6028010,1000.0,582
BUENOS AIRES,AMBA,Otros,Sin Datos,0.5,13
BUENOS AIRES,AMBA,Otros,Sin Datos,1.0,0
BUENOS AIRES,AMBA,Otros,Sin Datos,15.0,0
BUENOS AIRES,Arrecifes,Arrecifes,6077010,0.0,159
BUENOS AIRES,Arrecifes,Arrecifes,6077010,0.5,1
BUENOS AIRES,Arrecifes,Arrecifes,6077010,0.75,6
BUENOS AIRES,Arrecifes,Arrecifes,6077010,1.0,137
BUENOS AIRES,Arrecifes,Arrecifes,6077010,2.0,275
BUENOS AIRES,Arrecifes,Arrecifes,6077010,3.0,546
BUENOS AIRES,Arrecifes,Arrecifes,6077010,3.5,165
BUENOS AIRES,Arrecifes,Arrecifes,6077010,4.0,292
BUENOS AIRES,Arrecifes,Arrecifes,6077010,6.0,95
BUENOS AIRES,Arrecifes,Arrecifes,6077010,8.0,285
BUENOS AIRES,Arrecifes,Arrecifes,6077010,10.0,10
BUENOS AIRES,Arrecifes,Arrecifes,6077010,15.0,451
BUENOS AIRES,Arrecifes,Arrecifes,6077010,20.0,4
BUENOS AIRES,Arrecifes,Arrecifes,6077010,30.0,3
BUENOS AIRES,Arrecifes,Arrecifes,6077010,50.0,1
BUENOS AIRES,Arrecifes,Arrecifes,6077010,100.0,1
BUENOS AIRES,Arrecifes,Arrecifes,6077010,300.0,351
BUENOS AIRES,Arrecifes,Arrecifes,6077010,500.0,22
BUENOS AIRES,Arrecifes,Arrecifes,6077010,1000.0,6
BUENOS AIRES,Arrecifes,Todd,6077020,20.0,185
BUENOS AIRES,Arrecifes,Todd,6077020,50.0,125
BUENOS AIRES,Arrecifes,Todd,6077020,100.0,31
BUENOS AIRES,Arrecifes,Viña,6077030,3.0,80
BUENOS AIRES,Avellaneda,Avellaneda,6035010,0.0,31
BUENOS AIRES,Avellaneda,Avellaneda,6035010,0.256,1
BUENOS AIRES,Avellaneda,Avellaneda,6035010,0.5,8
